ENSMUSG00000033970	ENSMUST00000038131	ENSMUSP00000039621	ENSRNOG00000001088	ENSRNOT00000001444	ENSRNOP00000001444
ENSMUSG00000035840	ENSMUST00000224300	ENSMUSP00000152940	ENSRNOG00000016298	ENSRNOT00000021818	ENSRNOP00000021818
ENSMUSG00000037643	ENSMUST00000108249	ENSMUSP00000103884	ENSRNOG00000009652	ENSRNOT00000012924	ENSRNOP00000012924
ENSMUSG00000031807	ENSMUST00000127626	ENSMUSP00000122042	ENSRNOG00000018326	ENSRNOT00000024827	ENSRNOP00000024827
ENSMUSG00000048826	ENSMUST00000053218	ENSMUSP00000051638	ENSRNOG00000022921	ENSRNOT00000035125	ENSRNOP00000030909
ENSMUSG00000021326	ENSMUST00000223065	ENSMUSP00000152179	ENSRNOG00000055917	ENSRNOT00000077363	ENSRNOP00000074750
ENSMUSG00000035697	ENSMUST00000099501	ENSMUSP00000097100	ENSRNOG00000013220	ENSRNOT00000060648	ENSRNOP00000057381
ENSMUSG00000047757	ENSMUST00000167446	ENSMUSP00000128141	ENSRNOG00000003346	ENSRNOT00000082358	ENSRNOP00000073416
ENSMUSG00000021090	ENSMUST00000162159	ENSMUSP00000124394	ENSRNOG00000005409	ENSRNOT00000007339	ENSRNOP00000007339
ENSMUSG00000028945	ENSMUST00000030787	ENSMUSP00000030787	ENSRNOG00000050578	ENSRNOT00000071737	ENSRNOP00000063915
ENSMUSG00000031609	ENSMUST00000034022	ENSMUSP00000034022	ENSRNOG00000013218	ENSRNOT00000017652	ENSRNOP00000017652
ENSMUSG00000015405	ENSMUST00000112271	ENSMUSP00000107890	ENSRNOG00000031665	ENSRNOT00000049947	ENSRNOP00000047913
ENSMUSG00000032098	ENSMUST00000034609	ENSMUSP00000034609	ENSRNOG00000052010	ENSRNOT00000090203	ENSRNOP00000075392
ENSMUSG00000030713	ENSMUST00000032955	ENSMUSP00000032955	ENSRNOG00000018664	ENSRNOT00000025299	ENSRNOP00000025299
ENSMUSG00000057455	ENSMUST00000153060	ENSMUSP00000114323	ENSRNOG00000017568	ENSRNOT00000023874	ENSRNOP00000023871
ENSMUSG00000044098	ENSMUST00000051139	ENSMUSP00000058934	ENSRNOG00000019671	ENSRNOT00000026631	ENSRNOP00000026631
ENSMUSG00000041949	ENSMUST00000048359	ENSMUSP00000043953	ENSRNOG00000022524	ENSRNOT00000030768	ENSRNOP00000033600
ENSMUSG00000045875	ENSMUST00000159365	ENSMUSP00000124322	ENSRNOG00000009522	ENSRNOT00000012736	ENSRNOP00000012736
ENSMUSG00000043243	ENSMUST00000143662	ENSMUSP00000123432	ENSRNOG00000039357	ENSRNOT00000034589	ENSRNOP00000030537
ENSMUSG00000028789	ENSMUST00000106068	ENSMUSP00000101683	ENSRNOG00000051507	ENSRNOT00000085151	ENSRNOP00000072209
ENSMUSG00000034919	ENSMUST00000047922	ENSMUSP00000035773	ENSRNOG00000007189	ENSRNOT00000009582	ENSRNOP00000009582
ENSMUSG00000000253	ENSMUST00000000260	ENSMUSP00000000260	ENSRNOG00000017250	ENSRNOT00000023613	ENSRNOP00000023613
ENSMUSG00000000223	ENSMUST00000113228	ENSMUSP00000108854	ENSRNOG00000026704	ENSRNOT00000085693	ENSRNOP00000070220
ENSMUSG00000032578	ENSMUST00000167072	ENSMUSP00000129941	ENSRNOG00000029543	ENSRNOT00000040056	ENSRNOP00000041734
ENSMUSG00000072662	ENSMUST00000100780	ENSMUSP00000098343	ENSRNOG00000036925	ENSRNOT00000055463	ENSRNOP00000052329
ENSMUSG00000000838	ENSMUST00000088546	ENSMUSP00000085906	ENSRNOG00000057464	ENSRNOT00000089743	ENSRNOP00000071204
ENSMUSG00000023886	ENSMUST00000024660	ENSMUSP00000024660	ENSRNOG00000014166	ENSRNOT00000079718	ENSRNOP00000071488
ENSMUSG00000059273	ENSMUST00000098789	ENSMUSP00000096386	ENSRNOG00000015229	ENSRNOT00000020509	ENSRNOP00000020509
ENSMUSG00000024982	ENSMUST00000225963	ENSMUSP00000153159	ENSRNOG00000036576	ENSRNOT00000087680	ENSRNOP00000074182
ENSMUSG00000040102	ENSMUST00000036003	ENSMUSP00000042558	ENSRNOG00000001844	ENSRNOT00000002523	ENSRNOP00000002523
ENSMUSG00000030754	ENSMUST00000033012	ENSMUSP00000033012	ENSRNOG00000057623	ENSRNOT00000083293	ENSRNOP00000072797
ENSMUSG00000016541	ENSMUST00000163242	ENSMUSP00000132450	ENSRNOG00000014637	ENSRNOT00000021071	ENSRNOP00000021071
ENSMUSG00000030785	ENSMUST00000033049	ENSMUSP00000033049	ENSRNOG00000019851	ENSRNOT00000026908	ENSRNOP00000026908
ENSMUSG00000019927	ENSMUST00000020085	ENSMUSP00000020085	ENSRNOG00000000611	ENSRNOT00000000750	ENSRNOP00000000750
ENSMUSG00000062432	ENSMUST00000073391	ENSMUSP00000073105	ENSRNOG00000030698	ENSRNOT00000030962	ENSRNOP00000033390
ENSMUSG00000071047	ENSMUST00000095211	ENSMUSP00000092836	ENSRNOG00000039725	ENSRNOT00000060929	ENSRNOP00000057649
ENSMUSG00000046876	ENSMUST00000091628	ENSMUSP00000089217	ENSRNOG00000016998	ENSRNOT00000023140	ENSRNOP00000023140
ENSMUSG00000026858	ENSMUST00000077977	ENSMUSP00000077127	ENSRNOG00000017513	ENSRNOT00000088509	ENSRNOP00000075370
ENSMUSG00000028280	ENSMUST00000029947	ENSMUSP00000029947	ENSRNOG00000007603	ENSRNOT00000010172	ENSRNOP00000010172
ENSMUSG00000031861	ENSMUST00000034325	ENSMUSP00000034325	ENSRNOG00000010758	ENSRNOT00000083537	ENSRNOP00000073244
ENSMUSG00000029994	ENSMUST00000113675	ENSMUSP00000109305	ENSRNOG00000018159	ENSRNOT00000024436	ENSRNOP00000024436
ENSMUSG00000060224	ENSMUST00000235183	ENSMUSP00000157694	ENSRNOG00000015807	ENSRNOT00000021257	ENSRNOP00000021257
ENSMUSG00000040356	ENSMUST00000046022	ENSMUSP00000036265	ENSRNOG00000000421	ENSRNOT00000000481	ENSRNOP00000000481
ENSMUSG00000020430	ENSMUST00000109985	ENSMUSP00000105612	ENSRNOG00000004515	ENSRNOT00000005996	ENSRNOP00000005996
ENSMUSG00000062929	ENSMUST00000223450	ENSMUSP00000152320	ENSRNOG00000045892	ENSRNOT00000072589	ENSRNOP00000067174
ENSMUSG00000041923	ENSMUST00000081423	ENSMUSP00000080150	ENSRNOG00000014775	ENSRNOT00000041125	ENSRNOP00000038969
ENSMUSG00000079659	ENSMUST00000115365	ENSMUSP00000111022	ENSRNOG00000042758	ENSRNOT00000066211	ENSRNOP00000060280
ENSMUSG00000031438	ENSMUST00000113027	ENSMUSP00000108650	ENSRNOG00000055721	ENSRNOT00000086308	ENSRNOP00000071530
ENSMUSG00000024906	ENSMUST00000133436	ENSMUSP00000118580	ENSRNOG00000020617	ENSRNOT00000028015	ENSRNOP00000028015
ENSMUSG00000029701	ENSMUST00000007993	ENSMUSP00000007993	ENSRNOG00000005468	ENSRNOT00000064007	ENSRNOP00000059579
ENSMUSG00000040464	ENSMUST00000115441	ENSMUSP00000111101	ENSRNOG00000007098	ENSRNOT00000009340	ENSRNOP00000009340
ENSMUSG00000028937	ENSMUST00000075363	ENSMUSP00000074827	ENSRNOG00000010580	ENSRNOT00000014213	ENSRNOP00000014213
ENSMUSG00000057173	ENSMUST00000151913	ENSMUSP00000121212	ENSRNOG00000058243	ENSRNOT00000078196	ENSRNOP00000072601
ENSMUSG00000024987	ENSMUST00000025946	ENSMUSP00000025946	ENSRNOG00000016750	ENSRNOT00000022549	ENSRNOP00000022549
ENSMUSG00000042508	ENSMUST00000071921	ENSMUSP00000071815	ENSRNOG00000005908	ENSRNOT00000044810	ENSRNOP00000046030
ENSMUSG00000024423	ENSMUST00000025290	ENSMUSP00000025290	ENSRNOG00000045844	ENSRNOT00000073771	ENSRNOP00000064200
ENSMUSG00000062564	ENSMUST00000114328	ENSMUSP00000109967	ENSRNOG00000051438	ENSRNOT00000086429	ENSRNOP00000069870
ENSMUSG00000030327	ENSMUST00000032477	ENSMUSP00000032477	ENSRNOG00000009236	ENSRNOT00000013272	ENSRNOP00000013272
ENSMUSG00000031292	ENSMUST00000087104	ENSMUSP00000084342	ENSRNOG00000003742	ENSRNOT00000005061	ENSRNOP00000005061
ENSMUSG00000022404	ENSMUST00000023040	ENSMUSP00000023040	ENSRNOG00000018920	ENSRNOT00000025758	ENSRNOP00000025758
ENSMUSG00000037386	ENSMUST00000042917	ENSMUSP00000048719	ENSRNOG00000004201	ENSRNOT00000050753	ENSRNOP00000043010
ENSMUSG00000040576	ENSMUST00000201316	ENSMUSP00000144496	ENSRNOG00000001474	ENSRNOT00000033499	ENSRNOP00000034323
ENSMUSG00000031834	ENSMUST00000034296	ENSMUSP00000034296	ENSRNOG00000019228	ENSRNOT00000026210	ENSRNOP00000026210
ENSMUSG00000021981	ENSMUST00000022553	ENSMUSP00000022553	ENSRNOG00000011603	ENSRNOT00000016162	ENSRNOP00000016162
ENSMUSG00000073085	ENSMUST00000101419	ENSMUSP00000098964	ENSRNOG00000029158	ENSRNOT00000040825	ENSRNOP00000071502
ENSMUSG00000020175	ENSMUST00000147802	ENSMUSP00000119399	ENSRNOG00000001311	ENSRNOT00000001772	ENSRNOP00000001772
ENSMUSG00000041741	ENSMUST00000043259	ENSMUSP00000038749	ENSRNOG00000025042	ENSRNOT00000032843	ENSRNOP00000032282
ENSMUSG00000079525	ENSMUST00000114054	ENSMUSP00000109688	ENSRNOG00000043402	ENSRNOT00000066493	ENSRNOP00000063353
ENSMUSG00000015092	ENSMUST00000015236	ENSMUSP00000015236	ENSRNOG00000016272	ENSRNOT00000022196	ENSRNOP00000022196
ENSMUSG00000028649	ENSMUST00000084301	ENSMUSP00000081324	ENSRNOG00000016047	ENSRNOT00000081482	ENSRNOP00000075119
ENSMUSG00000018849	ENSMUST00000018993	ENSMUSP00000018993	ENSRNOG00000008065	ENSRNOT00000011061	ENSRNOP00000011061
ENSMUSG00000031860	ENSMUST00000081503	ENSMUSP00000080219	ENSRNOG00000010736	ENSRNOT00000014265	ENSRNOP00000014265
ENSMUSG00000026207	ENSMUST00000087122	ENSMUSP00000084361	ENSRNOG00000019850	ENSRNOT00000026941	ENSRNOP00000026941
ENSMUSG00000014547	ENSMUST00000014691	ENSMUSP00000014691	ENSRNOG00000010042	ENSRNOT00000080537	ENSRNOP00000074718
ENSMUSG00000037710	ENSMUST00000045887	ENSMUSP00000043559	ENSRNOG00000000610	ENSRNOT00000000749	ENSRNOP00000000749
ENSMUSG00000021702	ENSMUST00000022213	ENSMUSP00000022213	ENSRNOG00000012471	ENSRNOT00000083531	ENSRNOP00000074259
ENSMUSG00000091898	ENSMUST00000169169	ENSMUSP00000131991	ENSRNOG00000018943	ENSRNOT00000025606	ENSRNOP00000025606
ENSMUSG00000024981	ENSMUST00000043150	ENSMUSP00000046585	ENSRNOG00000016265	ENSRNOT00000022126	ENSRNOP00000022126
ENSMUSG00000024909	ENSMUST00000166303	ENSMUSP00000128827	ENSRNOG00000020587	ENSRNOT00000080520	ENSRNOP00000072344
ENSMUSG00000021177	ENSMUST00000153627	ENSMUSP00000118656	ENSRNOG00000003831	ENSRNOT00000005167	ENSRNOP00000005167
ENSMUSG00000025532	ENSMUST00000026608	ENSMUSP00000026608	ENSRNOG00000000901	ENSRNOT00000001202	ENSRNOP00000001202
ENSMUSG00000026000	ENSMUST00000027149	ENSMUSP00000027149	ENSRNOG00000013557	ENSRNOT00000018293	ENSRNOP00000018293
ENSMUSG00000032047	ENSMUST00000034547	ENSMUSP00000034547	ENSRNOG00000007862	ENSRNOT00000010573	ENSRNOP00000010573
ENSMUSG00000021910	ENSMUST00000022469	ENSMUSP00000022469	ENSRNOG00000018823	ENSRNOT00000036910	ENSRNOP00000032758
ENSMUSG00000047146	ENSMUST00000174189	ENSMUSP00000133279	ENSRNOG00000000277	ENSRNOT00000000302	ENSRNOP00000000302
ENSMUSG00000005533	ENSMUST00000005671	ENSMUSP00000005671	ENSRNOG00000014187	ENSRNOT00000019267	ENSRNOP00000019267
ENSMUSG00000039887	ENSMUST00000039442	ENSMUSP00000038387	ENSRNOG00000011528	ENSRNOT00000015354	ENSRNOP00000015355
ENSMUSG00000053137	ENSMUST00000088823	ENSMUSP00000086204	ENSRNOG00000006984	ENSRNOT00000009325	ENSRNOP00000009325
ENSMUSG00000014846	ENSMUST00000014990	ENSMUSP00000014990	ENSRNOG00000016890	ENSRNOT00000022863	ENSRNOP00000022863
ENSMUSG00000031293	ENSMUST00000033650	ENSMUSP00000033650	ENSRNOG00000030434	ENSRNOT00000040912	ENSRNOP00000042298
ENSMUSG00000022553	ENSMUST00000160853	ENSMUSP00000124893	ENSRNOG00000013514	ENSRNOT00000018240	ENSRNOP00000018240
ENSMUSG00000030751	ENSMUST00000033008	ENSMUSP00000033008	ENSRNOG00000011745	ENSRNOT00000015946	ENSRNOP00000015946
ENSMUSG00000036073	ENSMUST00000084695	ENSMUSP00000081745	ENSRNOG00000014766	ENSRNOT00000019886	ENSRNOP00000019886
ENSMUSG00000022668	ENSMUST00000162512	ENSMUSP00000125352	ENSRNOG00000002044	ENSRNOT00000002797	ENSRNOP00000002797
ENSMUSG00000054716	ENSMUST00000052509	ENSMUSP00000056959	ENSRNOG00000043225	ENSRNOT00000023999	ENSRNOP00000023999
ENSMUSG00000040482	ENSMUST00000046244	ENSMUSP00000047018	ENSRNOG00000000422	ENSRNOT00000000483	ENSRNOP00000000483
ENSMUSG00000026189	ENSMUST00000027381	ENSMUSP00000027381	ENSRNOG00000055295	ENSRNOT00000078125	ENSRNOP00000069475
ENSMUSG00000075304	ENSMUST00000100043	ENSMUSP00000097620	ENSRNOG00000054086	ENSRNOT00000078819	ENSRNOP00000069042
ENSMUSG00000054659	ENSMUST00000098181	ENSMUSP00000095783	ENSRNOG00000007755	ENSRNOT00000060914	ENSRNOP00000057636
ENSMUSG00000046959	ENSMUST00000051757	ENSMUSP00000051561	ENSRNOG00000000041	ENSRNOT00000000047	ENSRNOP00000000047
ENSMUSG00000036879	ENSMUST00000053771	ENSMUSP00000050788	ENSRNOG00000024101	ENSRNOT00000049624	ENSRNOP00000039778
ENSMUSG00000037346	ENSMUST00000234565	ENSMUSP00000157130	ENSRNOG00000016887	ENSRNOT00000022744	ENSRNOP00000022744
ENSMUSG00000015750	ENSMUST00000056710	ENSMUSP00000058846	ENSRNOG00000023816	ENSRNOT00000081383	ENSRNOP00000073820
ENSMUSG00000020648	ENSMUST00000020977	ENSMUSP00000020977	ENSRNOG00000008155	ENSRNOT00000084533	ENSRNOP00000072651
ENSMUSG00000033540	ENSMUST00000071650	ENSMUSP00000071577	ENSRNOG00000000043	ENSRNOT00000000048	ENSRNOP00000000048
ENSMUSG00000032123	ENSMUST00000054708	ENSMUSP00000056282	ENSRNOG00000009799	ENSRNOT00000013134	ENSRNOP00000013134
ENSMUSG00000029348	ENSMUST00000031291	ENSMUSP00000031291	ENSRNOG00000061004	ENSRNOT00000086782	ENSRNOP00000073904
ENSMUSG00000028626	ENSMUST00000030372	ENSMUSP00000030372	ENSRNOG00000011502	ENSRNOT00000048506	ENSRNOP00000049994
ENSMUSG00000005103	ENSMUST00000201260	ENSMUSP00000143937	ENSRNOG00000028498	ENSRNOT00000024012	ENSRNOP00000024012
ENSMUSG00000053931	ENSMUST00000029773	ENSMUSP00000029773	ENSRNOG00000011559	ENSRNOT00000015579	ENSRNOP00000015579
ENSMUSG00000038416	ENSMUST00000043962	ENSMUSP00000047950	ENSRNOG00000017536	ENSRNOT00000023736	ENSRNOP00000023736
ENSMUSG00000027068	ENSMUST00000063690	ENSMUSP00000069631	ENSRNOG00000058568	ENSRNOT00000080525	ENSRNOP00000069708
ENSMUSG00000046532	ENSMUST00000052837	ENSMUSP00000052648	ENSRNOG00000005639	ENSRNOT00000009129	ENSRNOP00000009129
ENSMUSG00000038526	ENSMUST00000036181	ENSMUSP00000036983	ENSRNOG00000023162	ENSRNOT00000025523	ENSRNOP00000025523
ENSMUSG00000022471	ENSMUST00000069530	ENSMUSP00000068559	ENSRNOG00000006392	ENSRNOT00000066849	ENSRNOP00000061920
ENSMUSG00000023885	ENSMUST00000170872	ENSMUSP00000128308	ENSRNOG00000010529	ENSRNOT00000014552	ENSRNOP00000014552
ENSMUSG00000026889	ENSMUST00000028251	ENSMUSP00000028251	ENSRNOG00000006763	ENSRNOT00000009706	ENSRNOP00000009706
ENSMUSG00000032348	ENSMUST00000034903	ENSMUSP00000034903	ENSRNOG00000030449	ENSRNOT00000090146	ENSRNOP00000075572
ENSMUSG00000036208	ENSMUST00000048788	ENSMUSP00000038779	ENSRNOG00000013721	ENSRNOT00000018473	ENSRNOP00000018474
ENSMUSG00000035834	ENSMUST00000048993	ENSMUSP00000035289	ENSRNOG00000016260	ENSRNOT00000021804	ENSRNOP00000021804
ENSMUSG00000042772	ENSMUST00000043560	ENSMUSP00000041241	ENSRNOG00000027962	ENSRNOT00000044235	ENSRNOP00000048900
ENSMUSG00000028572	ENSMUST00000030306	ENSMUSP00000030306	ENSRNOG00000026226	ENSRNOT00000012396	ENSRNOP00000012396
ENSMUSG00000024261	ENSMUST00000025110	ENSMUSP00000025110	ENSRNOG00000017333	ENSRNOT00000023594	ENSRNOP00000023593
ENSMUSG00000070880	ENSMUST00000094934	ENSMUSP00000092539	ENSRNOG00000000007	ENSRNOT00000087712	ENSRNOP00000072778
ENSMUSG00000034551	ENSMUST00000113422	ENSMUSP00000109049	ENSRNOG00000037799	ENSRNOT00000057378	ENSRNOP00000054189
ENSMUSG00000026887	ENSMUST00000028250	ENSMUSP00000028250	ENSRNOG00000025997	ENSRNOT00000033047	ENSRNOP00000038041
ENSMUSG00000039676	ENSMUST00000042360	ENSMUSP00000035663	ENSRNOG00000054277	ENSRNOT00000089609	ENSRNOP00000074768
ENSMUSG00000026188	ENSMUST00000141783	ENSMUSP00000114990	ENSRNOG00000016091	ENSRNOT00000021539	ENSRNOP00000021539
ENSMUSG00000029461	ENSMUST00000107042	ENSMUSP00000102657	ENSRNOG00000018873	ENSRNOT00000025827	ENSRNOP00000025827
ENSMUSG00000030064	ENSMUST00000113355	ENSMUSP00000108982	ENSRNOG00000007764	ENSRNOT00000010717	ENSRNOP00000010717
ENSMUSG00000032518	ENSMUST00000035105	ENSMUSP00000035105	ENSRNOG00000018645	ENSRNOT00000025225	ENSRNOP00000025224
ENSMUSG00000066224	ENSMUST00000171251	ENSMUSP00000127678	ENSRNOG00000013416	ENSRNOT00000046589	ENSRNOP00000039046
ENSMUSG00000059481	ENSMUST00000014578	ENSMUSP00000014578	ENSRNOG00000017223	ENSRNOT00000023368	ENSRNOP00000023370
ENSMUSG00000031910	ENSMUST00000034385	ENSMUSP00000034385	ENSRNOG00000059362	ENSRNOT00000083515	ENSRNOP00000075458
ENSMUSG00000032028	ENSMUST00000034527	ENSMUSP00000034527	ENSRNOG00000027847	ENSRNOT00000037353	ENSRNOP00000033830
ENSMUSG00000026187	ENSMUST00000027379	ENSMUSP00000027379	ENSRNOG00000016105	ENSRNOT00000021656	ENSRNOP00000021656
ENSMUSG00000055128	ENSMUST00000068532	ENSMUSP00000070548	ENSRNOG00000010178	ENSRNOT00000013912	ENSRNOP00000013912
ENSMUSG00000013495	ENSMUST00000063272	ENSMUSP00000068607	ENSRNOG00000000044	ENSRNOT00000000050	ENSRNOP00000000050
ENSMUSG00000030671	ENSMUST00000032909	ENSMUSP00000032909	ENSRNOG00000011417	ENSRNOT00000015498	ENSRNOP00000015498
ENSMUSG00000029405	ENSMUST00000164378	ENSMUSP00000128353	ENSRNOG00000002433	ENSRNOT00000003346	ENSRNOP00000003346
ENSMUSG00000015659	ENSMUST00000097432	ENSMUSP00000095043	ENSRNOG00000017889	ENSRNOT00000060527	ENSRNOP00000057269
ENSMUSG00000030209	ENSMUST00000053880	ENSMUSP00000062284	ENSRNOG00000008766	ENSRNOT00000011697	ENSRNOP00000011697
ENSMUSG00000023828	ENSMUST00000024595	ENSMUSP00000024595	ENSRNOG00000022946	ENSRNOT00000037369	ENSRNOP00000029748
ENSMUSG00000079654	ENSMUST00000159200	ENSMUSP00000123751	ENSRNOG00000039388	ENSRNOT00000060362	ENSRNOP00000057108
ENSMUSG00000022472	ENSMUST00000135988	ENSMUSP00000117613	ENSRNOG00000005577	ENSRNOT00000007424	ENSRNOP00000007424
ENSMUSG00000029474	ENSMUST00000031434	ENSMUSP00000031434	ENSRNOG00000001331	ENSRNOT00000001799	ENSRNOP00000001799
ENSMUSG00000050730	ENSMUST00000093893	ENSMUSP00000091419	ENSRNOG00000026821	ENSRNOT00000031492	ENSRNOP00000037659
ENSMUSG00000043572	ENSMUST00000106782	ENSMUSP00000102394	ENSRNOG00000007327	ENSRNOT00000057471	ENSRNOP00000054281
ENSMUSG00000036833	ENSMUST00000045295	ENSMUSP00000044078	ENSRNOG00000008190	ENSRNOT00000011633	ENSRNOP00000011633
ENSMUSG00000030382	ENSMUST00000032539	ENSMUSP00000032539	ENSRNOG00000019626	ENSRNOT00000026575	ENSRNOP00000026574
ENSMUSG00000028601	ENSMUST00000116309	ENSMUSP00000112011	ENSRNOG00000029333	ENSRNOT00000047653	ENSRNOP00000049726
ENSMUSG00000045382	ENSMUST00000052172	ENSMUSP00000053489	ENSRNOG00000003866	ENSRNOT00000005143	ENSRNOP00000005143
ENSMUSG00000050063	ENSMUST00000107966	ENSMUSP00000103600	ENSRNOG00000031927	ENSRNOT00000065876	ENSRNOP00000060676
ENSMUSG00000008140	ENSMUST00000118515	ENSMUSP00000113141	ENSRNOG00000019532	ENSRNOT00000026445	ENSRNOP00000026445
ENSMUSG00000050087	ENSMUST00000052596	ENSMUSP00000052281	ENSRNOG00000003395	ENSRNOT00000004517	ENSRNOP00000004517
ENSMUSG00000039372	ENSMUST00000047786	ENSMUSP00000042803	ENSRNOG00000016472	ENSRNOT00000022076	ENSRNOP00000022076
ENSMUSG00000052593	ENSMUST00000101551	ENSMUSP00000099087	ENSRNOG00000060694	ENSRNOT00000081110	ENSRNOP00000073012
ENSMUSG00000027184	ENSMUST00000028607	ENSMUSP00000028607	ENSRNOG00000009152	ENSRNOT00000078616	ENSRNOP00000074604
ENSMUSG00000003235	ENSMUST00000003320	ENSMUSP00000003320	ENSRNOG00000038160	ENSRNOT00000002321	ENSRNOP00000002321
ENSMUSG00000026177	ENSMUST00000027368	ENSMUSP00000027368	ENSRNOG00000014956	ENSRNOT00000057472	ENSRNOP00000054282
ENSMUSG00000004815	ENSMUST00000053913	ENSMUSP00000057859	ENSRNOG00000024112	ENSRNOT00000032056	ENSRNOP00000036466
ENSMUSG00000054280	ENSMUST00000120129	ENSMUSP00000113259	ENSRNOG00000048891	ENSRNOT00000072368	ENSRNOP00000066545
ENSMUSG00000010064	ENSMUST00000167868	ENSMUSP00000130414	ENSRNOG00000016827	ENSRNOT00000023623	ENSRNOP00000023623
ENSMUSG00000059851	ENSMUST00000098853	ENSMUSP00000096452	ENSRNOG00000017508	ENSRNOT00000023744	ENSRNOP00000023744
ENSMUSG00000043648	ENSMUST00000125307	ENSMUSP00000115503	ENSRNOG00000021657	ENSRNOT00000033483	ENSRNOP00000038044
ENSMUSG00000038398	ENSMUST00000043767	ENSMUSP00000037354	ENSRNOG00000017397	ENSRNOT00000066521	ENSRNOP00000060194
ENSMUSG00000030513	ENSMUST00000055576	ENSMUSP00000053742	ENSRNOG00000011526	ENSRNOT00000015845	ENSRNOP00000015845
ENSMUSG00000058669	ENSMUST00000072631	ENSMUSP00000072425	ENSRNOG00000022970	ENSRNOT00000011562	ENSRNOP00000011591
ENSMUSG00000002996	ENSMUST00000172314	ENSMUSP00000131158	ENSRNOG00000008927	ENSRNOT00000012004	ENSRNOP00000012004
ENSMUSG00000021733	ENSMUST00000057015	ENSMUSP00000058313	ENSRNOG00000005957	ENSRNOT00000008759	ENSRNOP00000008759
ENSMUSG00000030613	ENSMUST00000032842	ENSMUSP00000032842	ENSRNOG00000009462	ENSRNOT00000012781	ENSRNOP00000012781
ENSMUSG00000069135	ENSMUST00000097419	ENSMUSP00000095030	ENSRNOG00000055093	ENSRNOT00000085501	ENSRNOP00000070312
ENSMUSG00000044006	ENSMUST00000057831	ENSMUSP00000061544	ENSRNOG00000020622	ENSRNOT00000027990	ENSRNOP00000027990
ENSMUSG00000021843	ENSMUST00000187839	ENSMUSP00000140324	ENSRNOG00000012255	ENSRNOT00000016449	ENSRNOP00000016449
ENSMUSG00000038774	ENSMUST00000035606	ENSMUSP00000036726	ENSRNOG00000037604	ENSRNOT00000057016	ENSRNOP00000053848
ENSMUSG00000023805	ENSMUST00000115791	ENSMUSP00000111457	ENSRNOG00000017114	ENSRNOT00000066798	ENSRNOP00000059744
ENSMUSG00000024259	ENSMUST00000233997	ENSMUSP00000157089	ENSRNOG00000017091	ENSRNOT00000023032	ENSRNOP00000023032
ENSMUSG00000056917	ENSMUST00000236464	ENSMUSP00000158193	ENSRNOG00000020726	ENSRNOT00000028137	ENSRNOP00000028137
ENSMUSG00000025821	ENSMUST00000061890	ENSMUSP00000053643	ENSRNOG00000026981	ENSRNOT00000037248	ENSRNOP00000030771
ENSMUSG00000028060	ENSMUST00000198042	ENSMUSP00000142773	ENSRNOG00000020139	ENSRNOT00000027385	ENSRNOP00000027385
ENSMUSG00000030057	ENSMUST00000113617	ENSMUSP00000109247	ENSRNOG00000010239	ENSRNOT00000013884	ENSRNOP00000013884
ENSMUSG00000071454	ENSMUST00000164607	ENSMUSP00000128230	ENSRNOG00000011914	ENSRNOT00000060810	ENSRNOP00000057536
ENSMUSG00000021488	ENSMUST00000099490	ENSMUSP00000097089	ENSRNOG00000016680	ENSRNOT00000060928	ENSRNOP00000057648
ENSMUSG00000024260	ENSMUST00000235017	ENSMUSP00000157127	ENSRNOG00000016773	ENSRNOT00000022761	ENSRNOP00000022761
ENSMUSG00000042473	ENSMUST00000096313	ENSMUSP00000094036	ENSRNOG00000054011	ENSRNOT00000080072	ENSRNOP00000075054
ENSMUSG00000034959	ENSMUST00000036072	ENSMUSP00000045566	ENSRNOG00000022760	ENSRNOT00000039518	ENSRNOP00000035595
ENSMUSG00000002602	ENSMUST00000002677	ENSMUSP00000002677	ENSRNOG00000020716	ENSRNOT00000028131	ENSRNOP00000028131
ENSMUSG00000041343	ENSMUST00000056106	ENSMUSP00000061208	ENSRNOG00000009664	ENSRNOT00000068402	ENSRNOP00000062031
ENSMUSG00000043531	ENSMUST00000111756	ENSMUSP00000107386	ENSRNOG00000011313	ENSRNOT00000015979	ENSRNOP00000015979
ENSMUSG00000029151	ENSMUST00000031037	ENSMUSP00000031037	ENSRNOG00000006204	ENSRNOT00000008126	ENSRNOP00000008126
ENSMUSG00000033618	ENSMUST00000042065	ENSMUSP00000047388	ENSRNOG00000025423	ENSRNOT00000078072	ENSRNOP00000072235
ENSMUSG00000028447	ENSMUST00000030158	ENSMUSP00000030158	ENSRNOG00000014208	ENSRNOT00000019561	ENSRNOP00000019561
ENSMUSG00000030512	ENSMUST00000153609	ENSMUSP00000117947	ENSRNOG00000011932	ENSRNOT00000016758	ENSRNOP00000016758
ENSMUSG00000022422	ENSMUST00000110231	ENSMUSP00000105860	ENSRNOG00000026502	ENSRNOT00000036399	ENSRNOP00000038101
ENSMUSG00000024136	ENSMUST00000088506	ENSMUSP00000085862	ENSRNOG00000042352	ENSRNOT00000012203	ENSRNOP00000012203
ENSMUSG00000036114	ENSMUST00000038434	ENSMUSP00000041477	ENSRNOG00000059653	ENSRNOT00000082496	ENSRNOP00000075391
ENSMUSG00000069670	ENSMUST00000191234	ENSMUSP00000140463	ENSRNOG00000029608	ENSRNOT00000075427	ENSRNOP00000067471
